ProductID,ProductName,Category,SubCategory,Brand,CostPrice,ListPrice,StockQuantity,Weight,Dimensions,LaunchDate
1,Microsoft Headphones Standard,Electronics,Headphones,Microsoft,856.7,1506.16,355,4.47,27x18x36cm,2022-12-03
2,Sony Tablets Max,Electronics,Tablets,Sony,635.27,1152.54,964,7.72,23x40x10cm,2025-07-13
3,Nintendo Headphones Standard,Electronics,Headphones,Nintendo,1139.91,1741.32,538,8.32,27x37x45cm,2021-07-02
4,Nintendo Gaming Standard,Electronics,Gaming,Nintendo,351.4,773.36,609,7.75,10x44x5cm,2021-10-01
5,Microsoft Laptops Standard,Electronics,Laptops,Microsoft,614.59,1309.38,836,6.49,15x39x31cm,2022-04-10
6,Samsung Headphones Pro,Electronics,Headphones,Samsung,794.85,1237.71,263,0.95,43x37x45cm,2022-12-25
7,Sony Tablets Max,Electronics,Tablets,Sony,443.66,1092.59,272,0.19,7x26x39cm,2022-09-12
8,Apple Smartwatches Max,Electronics,Smartwatches,Apple,175.8,329.45,403,7.68,10x40x25cm,2022-09-19
9,Microsoft Tablets Max,Electronics,Tablets,Microsoft,676.87,1498.47,67,1.49,7x11x6cm,2023-08-07
10,Samsung Smartphones Lite,Electronics,Smartphones,Samsung,36.92,82.88,599,5.84,32x22x28cm,2024-06-18
11,HP Laptops Max,Electronics,Laptops,HP,768.52,1406.93,928,9.46,8x32x27cm,2025-06-03
12,Dell Smartwatches Max,Electronics,Smartwatches,Dell,71.09,104.61,781,2.86,38x28x22cm,2024-01-10
13,HP Smartphones Pro,Electronics,Smartphones,HP,1012.84,1771.71,7,3.9,34x24x22cm,2021-04-18
14,Dell Headphones Lite,Electronics,Headphones,Dell,181.52,313.72,487,6.1,27x39x10cm,2022-02-14
15,Samsung Gaming Lite,Electronics,Gaming,Samsung,479.78,830.28,782,9.37,16x9x11cm,2022-02-06
16,Sony Gaming Standard,Electronics,Gaming,Sony,1033.56,1987.17,546,5.65,17x30x7cm,2024-08-23
17,Samsung Smartwatches Lite,Electronics,Smartwatches,Samsung,162.52,299.63,112,1.56,42x38x21cm,2023-09-26
18,Dell Tablets Lite,Electronics,Tablets,Dell,30.95,66.55,571,4.24,9x14x14cm,2021-03-18
19,Apple Smartwatches Pro,Electronics,Smartwatches,Apple,692.89,1214.08,357,1.21,35x38x46cm,2022-07-18
20,Nintendo Tablets Max,Electronics,Tablets,Nintendo,866.24,1723.13,694,5.03,18x38x12cm,2022-12-29
21,Samsung Tablets Lite,Electronics,Tablets,Samsung,789.94,1319.51,110,2.81,18x15x6cm,2023-05-03
22,HP Laptops Lite,Electronics,Laptops,HP,1204.91,1964.14,984,0.91,12x21x9cm,2022-05-28
23,Microsoft Headphones Pro,Electronics,Headphones,Microsoft,85.15,166.29,548,7.08,19x46x30cm,2023-02-26
24,Dell Tablets Lite,Electronics,Tablets,Dell,532.02,1005.58,784,6.04,33x49x35cm,2020-11-08
25,Microsoft Gaming Lite,Electronics,Gaming,Microsoft,507.55,926.26,17,4.81,23x17x8cm,2023-02-27
26,Samsung Tablets Pro,Electronics,Tablets,Samsung,406.26,804.56,478,1.17,43x11x20cm,2024-11-30
27,HP Tablets Standard,Electronics,Tablets,HP,453.92,1071.21,87,1.75,32x23x11cm,2021-11-30
28,Samsung Headphones Standard,Electronics,Headphones,Samsung,42.51,70.61,422,1.64,22x43x5cm,2021-09-18
29,Nintendo Tablets Lite,Electronics,Tablets,Nintendo,253.62,446.4,266,2.51,29x7x34cm,2023-10-30
30,Dell Smartwatches Lite,Electronics,Smartwatches,Dell,525.67,1231.83,693,5.27,43x47x35cm,2021-04-13
31,Sony Smartwatches Max,Electronics,Smartwatches,Sony,208.59,356.81,118,7.66,7x29x29cm,2023-10-18
32,HP Headphones Lite,Electronics,Headphones,HP,912.53,1871.76,240,0.68,18x20x14cm,2023-09-16
33,Samsung Headphones Max,Electronics,Headphones,Samsung,556.01,842.75,61,4.12,13x11x30cm,2020-09-15
34,Dell Headphones Standard,Electronics,Headphones,Dell,290.94,433.34,527,8.32,23x39x47cm,2025-06-26
35,Dell Smartwatches Lite,Electronics,Smartwatches,Dell,411.35,954.28,633,9.62,17x45x10cm,2024-11-12
36,HP Smartwatches Lite,Electronics,Smartwatches,HP,1119.54,1988.3,378,9.13,19x18x43cm,2024-01-01
37,Dell Smartwatches Pro,Electronics,Smartwatches,Dell,1117.14,1628.91,106,2.79,20x39x42cm,2021-07-19
38,Nintendo Smartwatches Lite,Electronics,Smartwatches,Nintendo,389.57,668.01,173,9.24,31x19x13cm,2022-02-09
39,Sony Laptops Standard,Electronics,Laptops,Sony,165.09,300.33,979,5.78,14x20x29cm,2025-03-31
40,Apple Headphones Lite,Electronics,Headphones,Apple,237.54,406.06,155,7.97,42x46x24cm,2022-12-19
41,Microsoft Tablets Max,Electronics,Tablets,Microsoft,473.14,756.19,888,7.83,21x32x35cm,2022-10-02
42,Nintendo Headphones Lite,Electronics,Headphones,Nintendo,193.5,396.07,161,8.5,47x47x15cm,2024-10-09
43,Samsung Smartphones Max,Electronics,Smartphones,Samsung,136.82,220.09,916,8.92,27x13x5cm,2022-07-01
44,Microsoft Smartwatches Pro,Electronics,Smartwatches,Microsoft,544.91,815.38,201,3.33,40x33x9cm,2021-10-26
45,Nintendo Smartwatches Lite,Electronics,Smartwatches,Nintendo,567.71,814.66,399,6.36,45x5x9cm,2021-07-26
46,Dell Smartphones Pro,Electronics,Smartphones,Dell,115.27,198.37,737,4.4,22x6x20cm,2023-04-26
47,Apple Smartwatches Pro,Electronics,Smartwatches,Apple,633.78,1412.52,874,2.86,8x8x29cm,2024-09-09
48,Microsoft Smartphones Lite,Electronics,Smartphones,Microsoft,879.15,1526.75,518,6.72,14x40x35cm,2021-03-04
49,Samsung Tablets Max,Electronics,Tablets,Samsung,797.0,1963.03,101,1.77,45x38x29cm,2024-02-13
50,HP Smartphones Lite,Electronics,Smartphones,HP,727.58,1193.22,957,3.32,13x7x20cm,2021-09-29
